CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
60368a64c337   cachito_asyncio-nexus-1            36.10%    3.27GiB / 15.5GiB    21.10%    77.6MB / 33.7MB   241MB / 856MB     124
24a20d4f4018   cachito_asyncio-db-1               0.00%     41.49MiB / 15.5GiB   0.26%     97.4kB / 81.1kB   48.3MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.19%     1.341GiB / 15.5GiB   8.65%     113kB / 104kB     56.3MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     14.82MiB / 15.5GiB   0.09%     11.4kB / 2.5kB    39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.71%     354.3MiB / 15.5GiB   2.23%     34.5MB / 402kB   820MB / 1.58GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.86%     135.3MiB / 15.5GiB   0.85%     128kB / 170kB    34.6MB / 307kB    3
60368a64c337   cachito_asyncio-nexus-1            8.28%     3.434GiB / 15.5GiB   22.16%    80MB / 35.4MB    241MB / 877MB     121
24a20d4f4018   cachito_asyncio-db-1               0.01%     41.49MiB / 15.5GiB   0.26%     100kB / 83.6kB   48.3MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.12%     1.341GiB / 15.5GiB   8.65%     117kB / 107kB    56.3MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     14.82MiB / 15.5GiB   0.09%     11.4kB / 2.5kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.31%     354.4MiB / 15.5GiB   2.23%     34.8MB / 420kB    820MB / 1.58GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.68%     137MiB / 15.5GiB     0.86%     145kB / 196kB     38.7MB / 328kB    3
60368a64c337   cachito_asyncio-nexus-1            22.80%    3.449GiB / 15.5GiB   22.25%    80.5MB / 35.7MB   241MB / 893MB     127
24a20d4f4018   cachito_asyncio-db-1               0.00%     41.82MiB / 15.5GiB   0.26%     118kB / 98.8kB    48.4MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.23%     1.341GiB / 15.5GiB   8.65%     121kB / 111kB     56.3MB / 1.59MB   37
