CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
3cb718cedcb7   cachito_threads-rabbitmq-1         0.76%     1.621GiB / 15.5GiB   10.46%    97.4kB / 82.7kB   51.2MB / 6.51MB   37
dcf3763c4940   cachito_threads-nexus-1            78.00%    2.011GiB / 15.5GiB   12.98%    70.7kB / 16.7kB   218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               7.96%     86.78MiB / 15.5GiB   0.55%     80.8kB / 51.1kB   28.5MB / 106MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     22.22MiB / 15.5GiB   0.14%     16.6kB / 1.89kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.27%     891.1MiB / 15.5GiB   5.61%     755MB / 2.05MB    358MB / 3.05GB    12
894c51829de4   cachito_threads-cachito-api-1      0.50%     160.8MiB / 15.5GiB   1.01%     97.4kB / 117kB    49.4MB / 172kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.19%     1.621GiB / 15.5GiB   10.46%    101kB / 86.5kB    51.2MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            70.10%    2.119GiB / 15.5GiB   13.67%    2.09MB / 1.15MB   249MB / 331MB     114
6e08b5e0ca0a   cachito_threads-db-1               0.01%     87.2MiB / 15.5GiB    0.55%     88.8kB / 58.7kB   28.5MB / 106MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     22.23MiB / 15.5GiB   0.14%     16.7kB / 1.93kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.75%     891.2MiB / 15.5GiB   5.62%     756MB / 2.06MB    358MB / 3.05GB    12
894c51829de4   cachito_threads-cachito-api-1      1.35%     160.9MiB / 15.5GiB   1.01%     101kB / 121kB     49.4MB / 180kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.23%     1.621GiB / 15.5GiB   10.46%    104kB / 89.8kB    51.2MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            64.20%    2.199GiB / 15.5GiB   14.19%    2.64MB / 1.28MB   249MB / 343MB     115
6e08b5e0ca0a   cachito_threads-db-1               0.00%     87.32MiB / 15.5GiB   0.55%     91.5kB / 61.1kB   28.5MB / 106MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     22.23MiB / 15.5GiB   0.14%     16.9kB / 2.04kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.87%     891.5MiB / 15.5GiB   5.62%     758MB / 2.09MB    358MB / 3.07GB    12
894c51829de4   cachito_threads-cachito-api-1      0.43%     160.8MiB / 15.5GiB   1.01%     104kB / 127kB     49.4MB / 188kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.15%     1.621GiB / 15.5GiB   10.46%    108kB / 93.4kB    51.2MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            62.46%    2.235GiB / 15.5GiB   14.42%    6MB / 3.72MB      249MB / 370MB     121
6e08b5e0ca0a   cachito_threads-db-1               0.14%     86.13MiB / 15.5GiB   0.54%     94.2kB / 63.5kB   28.5MB / 107MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     22.23MiB / 15.5GiB   0.14%     17kB / 2.11kB     29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.53%     875.8MiB / 15.5GiB   5.52%     758MB / 2.11MB   358MB / 3.07GB    12
894c51829de4   cachito_threads-cachito-api-1      0.49%     160.5MiB / 15.5GiB   1.01%     107kB / 131kB    49.4MB / 197kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.15%     1.622GiB / 15.5GiB   10.47%    112kB / 97.3kB   51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            21.61%    2.28GiB / 15.5GiB    14.71%    7.4MB / 3.89MB   249MB / 386MB     121
